id,title_cn,title_jp,title_en,region,type,rating,points_count,center_lat,center_lng,cover_url,bgm_id
40651,只要你说你爱我,好きっていいなよ。,,东京都,TV,6,15,35.7743,139.496502,http://bgm-api.anitabi.cn/pic/cover/l/10/4a/40651_4F4gX.jpg,
7868,我们没有翅膀,俺たちに翼はない,,,游戏,8.4,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/2b/85/7868_RlKwS.jpg,
29426,坂道上的阿波罗,坂道のアポロン,,佐世保市,TV,7.5,17,33.177102,129.717925,https://w.junreimap.com/images/bangumi/29426.jpg,90348
272510,街角魔族,まちカドまぞく,Machikado Mazoku,多摩市,TV,7.4,25,35.649933,139.448171,https://w.junreimap.com/images/bangumi/272510.jpg,770
2741,棒球英豪,タッチ,,,TV,8.3,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/cd/cb/2741_GPGN2.jpg,
3628,名侦探柯南 天空的遇难船,名探偵コナン 天空の難破船,,大阪府,剧场版,6.3,12,34.650612,135.420558,https://w.junreimap.com/images/bangumi/3628.jpg,8676
321885,链锯人,チェンソーマン,Chainsaw Man,日本,TV,7.4,6,35.945209,137.534368,https://w.junreimap.com/images/bangumi/321885.jpg,
492881,真･武士传 剑勇传说,真･侍伝 YAIBA,,东京都,TV,7.6,32,35.676191,139.65031,http://bgm-api.anitabi.cn/pic/cover/l/a4/1d/492881_Gk7O7.jpg,
356983,传述之魔女,イハナシの魔女,,冲绳县,游戏,7.6,9,26.30869,126.999868,https://w.junreimap.com/images/bangumi/356983.jpg,99068
514353,小林家的龙女仆 孤独的龙,小林さんちのメイドラゴン さみしがりやの竜,,,剧场版,7.3,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/f1/22/514353_s8BfX.jpg,
491569,忍者与杀手二人组的日常生活,忍者と殺し屋のふたりぐらし,,东京都,TV,7.3,4,0,0,http://bgm-api.anitabi.cn/pic/cover/l/15/a3/491569_R42i0.jpg,
387803,江户前精灵,江戸前エルフ,,中央区,TV,7,222,35.65854,139.778796,https://w.junreimap.com/images/bangumi/387803.jpg,1270
98371,某科学的超电磁炮 OVA,とある科学の超電磁砲 炎天下の撮影モデルも楽じゃありませんわね,,东京都,OVA,7.2,14,35.692977,139.698325,https://w.junreimap.com/images/bangumi/98371.jpg,15747
324,攻壳机动队 STAND ALONE COMPLEX,攻殻機動隊 STAND ALONE COMPLEX,Ghost in the Shell: Stand Alone Complex,日本,TV,9.1,5,34.684896,134.677941,https://w.junreimap.com/images/bangumi/324.jpg,41042
306,,Myself ; Yourself,,和歌山县,TV,6.6,7,33.549288,135.499414,https://w.junreimap.com/images/bangumi/306.jpg,37321
222145,9-nine-天色天歌天籁音,9-nine-そらいろそらうたそらのおと Episode.2 Sora Nimi,,,游戏,7.2,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/1d/5c/222145_s4Zqm.jpg,
189739,9-nine-九次九日九重色,9-nine-ここのつここのかここのいろ Episode.1 Miyako Kujo,,,游戏,6.4,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/8d/9b/189739_n3YFN.jpg,
1959,怪物,MONSTER,,,TV,8.3,9,0,0,http://bgm-api.anitabi.cn/pic/cover/l/e4/dd/1959_W3w23.jpg,
295320,美少女万华镜 -理与迷宫的少女-,美少女万華鏡 -理と迷宮の少女-,,日本,游戏,0,3,0,0,https://w.junreimap.com/images/bangumi/295320_ugtkb9cqk.jpg,
2970,名侦探柯南 世纪末的魔术师,名探偵コナン 世紀末の魔術師,,大阪府,剧场版,7.2,14,34.668508,135.504667,https://w.junreimap.com/images/bangumi/2970.jpg,4387
195573,荒野大镖客：救赎2,Red Dead Redemption 2,,北美洲,游戏,8.8,2,34.613435,-91.883471,https://w.junreimap.com/images/bangumi/195573.jpg,
93739,乒乓,ピンポン THE ANIMATION,Ping Pong The Animation,镰仓市,TV,8.5,55,35.50118,139.637241,https://w.junreimap.com/images/bangumi/93739.jpg,7403
424379,超超超超超喜欢你的100个女朋友,君のことが大大大大大好きな100人の彼女,,,TV,7.3,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/37/03/424379_UfMuk.jpg,
433729,邪神与厨二病少女【世纪末篇】,邪神ちゃんドロップキック【世紀末編】,,熊本县,TV,5.7,8,0,0,http://bgm-api.anitabi.cn/pic/cover/l/e0/72/433729_ZxFiS.jpg,
272188,邪神与厨二病少女’,邪神ちゃんドロップキック’,,,TV,7.3,5,40.714691,-74.014451,https://w.junreimap.com/images/bangumi/272188.jpg,1121
485868,一起加油吧,がんばっていきまっしょい,,松山市,剧场版,0,45,33.874361,132.707804,https://w.junreimap.com/images/bangumi/485868.jpg,12912
121377,那就是声优！,それが声優！,,,TV,6.6,1,0,0,https://w.junreimap.com/images/bangumi/121377.jpg,
390794,黑暗集会,ダークギャザリング,,日本,TV,6.8,126,35.486407,137.810738,https://w.junreimap.com/images/bangumi/390794.jpg,
175404,ISLAND,ISLAND,,东京都,TV,5.8,31,34.37686,139.269684,https://w.junreimap.com/images/bangumi/175404.jpg,39307
369304,咒术回战 第二季,呪術廻戦 第2期,,涩谷区,TV,7.2,98,35.704076,139.703373,https://w.junreimap.com/images/bangumi/369304.jpg,1354
469877,四重星,トラペジウム,trapezium,馆山市,剧场版,0,164,34.969699,139.862544,https://w.junreimap.com/images/bangumi/469877.jpg,50611
83295,乔瓦尼之岛,ジョバンニの島,,根室市,剧场版,6.7,9,43.805713,146.726858,https://w.junreimap.com/images/bangumi/83295.jpg,882799
93714,东京喰种,東京喰種トーキョーグール,,东京都,TV,6.6,34,35.682449,139.678833,https://w.junreimap.com/images/bangumi/93714.jpg,2460
798,,sola,sola,长崎市,TV,7.3,7,32.749744,129.877625,https://w.junreimap.com/images/bangumi/798.jpg,
236626,谜语小丑,RIDDLE JOKER,,京都市,游戏,5.6,13,34.982295,135.678918,https://w.junreimap.com/images/bangumi/236626.jpg,7023
